CAS	Chemical	formula	Hfl	Gfl	S0l	Cpl	Hfg	Gfg	S0g	Cpg
50-00-0	Formaldehyde	CH2O					-115897.0	-109921.0	218.95	35.402
56-23-5	Tetrachloromethane	CCl4					-95981.0	-53617.0	309.809	83.401
57-12-5	Cyanide	CN-					60668.0	38768.0	195.976	29.133
67-66-3	Trichloromethane	CHCl3					-103177.0	-70357.0	295.62	65.383
67-72-1	Hexachloroethane	C2Cl6					-134223.0	-49894.0	397.88	138.934
74-82-8	Methane	CH4					-74873.0	-50768.0	186.251	35.639
74-85-1	Ethene	C2H4					52467.0	68421.0	219.33	42.886
74-86-2	Ethyne	C2H2					226731.0	209200.0	200.958	44.095
74-87-3	Chloromethane	CH3Cl					-83680.0	-60146.0	234.367	40.731
74-90-8	Hydrogen Cyanide	CHN					135143.0	124725.0	201.828	35.857
75-09-2	Dichloromethane	CH2Cl2					-95521.0	-68924.0	270.293	50.896
75-10-5	Difluoromethane	CH2F2					-450659.0	-423076.0	246.698	42.859
75-13-8	Hydrogen Isocyanate	CHNO					-101671.0	-92360.0	238.228	45.043
75-15-0	Carbon Disulfide	CS2					116943.0	66816.0	237.977	45.664
75-21-8	Oxirane	C2H4O					-52635.0	-13159.0	243.012	47.901
75-43-4	Dichlorofluoromethane	CHCl2F					-283257.0	-252758.0	293.26	60.995
75-44-5	Carbonic Dichloride	CCl2O					-220078.0	-205887.0	283.796	57.695
75-45-6	Chlorodifluoromethane	CHClF2					-481578.0	-450439.0	280.968	57.126
75-46-7	Trifluoromethane	CHF3					-697054.0	-662586.0	259.657	51.04
75-63-8	Bromotrifluoromethane	CBrF3					-648938.0	-622641.0	297.827	69.33
75-69-4	Triclorofluormethane	CCl3F					-288696.0	-249335.0	309.735	78.018
75-71-8	Dichlorodifluoromethane	CCl2F2					-491620.0	-452648.0	300.897	72.404
75-72-9	Chlorotrifluoromethane	CClF3					-707933.0	-667351.0	285.353	66.887
75-73-0	Tetrafluoromethane	CF4					-933199.0	-888507.0	261.419	61.054
75-76-3	Tetramethylsilane	C4H12Si					-286604.0	-148063.0	361.189	138.574
75-79-6	Trichloromethylsilane	CH3Cl3Si					-528858.0	-409577.0	351.147	102.382
76-16-4	Hexafluoroethane	C2F6					-1343901.0	-1258134.0	332.185	106.407
116-14-3	Tetrafluoroethene	C2F4					-658562.0	-623665.0	300.015	80.458
124-38-9	Carbon Dioxide	CO2					-393522.0	-394389.0	213.795	37.129
127-18-4	Tetrachloroethene	C2Cl4					-12426.0	21628.0	343.421	95.546
143-33-9	Sodium Cyanide	CNNa	-84398.0	-76201.0	125.507	68.68	94266.0	67323.0	243.367	50.178
151-50-8	Potassium Cyanide	CKN	-104148.0	-94638.0	134.321	75.312	79496.0	53578.0	253.146	50.857
289-56-5	Boroxin	H3B3O3					-1217544.0	-1149168.0	291.907	87.831
302-01-2	Hydrazine	H4N2	50626.0	149440.0	121.544	98.84	95353.0	159232.0	238.719	50.813
353-49-1	Carbonic Chloride Fluoride	CClFO					-426768.0	-413579.0	277.012	52.396
353-50-4	Carbonic Difluoride	CF2O					-638897.0	-623329.0	258.887	47.255
353-85-5	Trifluoroacetonitrile	C2F3N					-495386.0	-461713.0	298.533	78.255
373-74-0	Trifluoromethylsilane	CH3F3Si					-1232711.0	-1111489.0	314.202	90.876
373-80-8	Pentafluoro(Trifluoromethyl)Sulfur	CF8S					-1717051.0	-1577222.0	379.967	139.222
373-91-1	Trifluoromethyl Hypofluorite	CF4O					-764835.0	-707781.0	322.533	79.354
409-21-2	Silicon Carbide	CSi					719648.0	663452.0	213.044	38.417
460-19-5	Ethanedinitrile	C2N2					309072.0	297601.0	241.565	56.746
463-58-1	Carbon Oxide Sulfide	COS					-138407.0	-165601.0	231.581	41.497
497-19-8	Sodium Carbonate	CNa2O3	-1108515.0	-1031011.0	156.423	111.002				
504-64-3	Carbon Suboxide	C3O2					-93638.0	-109649.0	276.071	66.989
506-66-1	Beryllium Carbide	CBe2	-15893.0	-22704.0	47.467	43.25				
506-68-3	Cyanogen Bromide	CBrN					186188.0	165104.0	248.363	47.124
506-77-4	Cyanogen Chloride	CClN					137946.0	131014.99999999999	236.334	45.271
506-78-5	Cyanogen Iodide	CIN					225936.0	196800.0	257.34	48.42
554-13-2	Lithium Carbonate	CLi2O3	-1175083.0	-1103210.0	130.567	96.232				
558-13-4	Tetrabromomethane	CBr4					50208.0	35914.0	358.095	91.18
584-08-7	Potassium Carbonate	CK2O3	-1130609.0	-1049385.0	170.373	114.437				
593-53-3	Fluoromethane	CH3F					-234304.0	-210359.0	222.843	37.5
593-63-5	Chloroethyne	C2HCl					213802.0	197811.0	241.996	54.319
593-70-4	Chlorofluoromethane	CH2ClF					-261918.0	-236595.0	264.421	47.037
630-08-0	Carbon Monoxide	CO					-110527.0	-137163.0	197.653	29.142
689-99-6	Difluoroethyne	C2F2					20920.0	12038.0	244.06	56.935
1071-98-3	2-Butynedinitrile	C4N2					533460.0	510937.0	290.112	85.888
1302-84-7	Chiolite	Al3F14Na5	-7497408.0	-7130832.0	532.124	454.006				
1303-86-2	Boron Oxide	B2O3	-1253359.0	-1181521.0	78.443	62.802	-835963.0	-825343.0	283.768	66.855
1304-28-5	Barium Oxide	BaO	-491627.0	-471205.0	96.553	47.279	-123846.0	-144839.0	235.457	32.897
1304-54-7	Beryllium Nitride	Be3N2	-486979.0	-433172.0	39.457	133.888				
1304-56-9	Beryllium Oxide	BeO	-542705.0	-520020.99999999994	35.931	25.56	136398.0	110873.0	197.625	29.481
1305-62-0	Calcium Hydroxide	H2CaO2					-610764.0	-583390.0	285.605	73.45
1305-78-8	Calcium Oxide	CaO	-557335.0	-532935.0	62.321	42.12	43932.0	21405.0	219.717	32.455
1308-38-9	Chromium Oxide	Cr2O3	-1018381.0	-949997.0	125.595	101.755				
1309-42-8	Magnesium Hydroxide	H2MgO2					-572371.0	-542190.0	267.27	69.476
1309-48-4	Magnesium Oxide	MgO	-532609.0	-506707.0	48.366	37.106	58158.0	34895.0	213.269	32.173
1310-58-3	Potassium Hydroxide	HKO	-412705.0	-372166.0	96.617	83.107	-232630.0	-233762.0	236.379	48.531
1310-65-2	Lithium Hydroxide	HLiO	-474422.0	-429989.0	47.969	87.086	-234304.0	-238377.0	210.659	46.129
1310-73-2	Sodium Hydroxide	HNaO	-416878.0	-374100.0	75.891	87.822	-197757.0	-200463.0	228.443	48.371
1312-73-8	Potassium Sulfide	K2S	-346506.0	-340476.0	141.172	74.684				
1313-27-5	Molybdenum Oxide	MoO3	-703727.0	-637719.0	114.935	74.881	-346435.0	-330804.0	283.897	59.378
1313-59-3	Sodium Oxide	Na2O	-372843.0	-338890.0	91.607	104.6				
1313-82-2	Sodium Sulfide	Na2S	-323940.0	-321761.0	127.656	82.801				
1313-96-8	Niobium Oxide	Nb2O5	-1830873.0	-1707347.0	171.488	131.988				
1314-11-0	Strontium Oxide	OSr	-517292.00000000006	-494209.0	80.846	45.409	-13389.0	-34793.0	230.058	33.092
1314-23-4	Zirconium Oxide	O2Zr	-1023155.0	-972661.0	74.657	56.191	-286186.0	-295049.0	273.746	46.061
1314-34-7	Vanadium Oxide	O3V2	-1093054.0	-1029445.9999999999	152.25	104.964				
1314-35-8	Tungsten Oxide	O3W	-788915.0	-718291.0	103.508	73.14	-292880.0	-276798.0	286.44	61.005
1314-61-0	Tantalum Oxide	O5Ta2	-1957171.0	-1834107.0	183.05	135.034				
1314-62-1	Vanadium Oxide	O5V2	-1491209.0	-1378274.0	191.956	130.599				
1314-85-8	Phosphorus Sulfide	P4S3	-220784.0	-204869.0	207.097	184.096	-151042.0	-168570.0	319.265	154.808
1314-87-0	Lead Sulfide	PbS	-84064.0	-85242.0	100.795	49.438	131796.0	85711.0	251.412	35.085
1314-96-1	Strontium Sulfide	SSr					108198.0	61878.0	243.107	35.477
1317-36-8	Lead Oxide	OPb	-202249.0	-174228.0	73.376	64.998	70291.0	48622.0	240.039	32.508
1317-38-0	Copper Oxide	CuO					306269.0	276788.0	234.617	35.693
1317-39-1	Copper Oxide	Cu2O	-111995.0	-100384.0	129.957	62.542				
1317-96-0	Iron Sulfide	FeS	-68811.0	-75798.0	82.811	50.517	370767.0	313234.0	252.344	34.002
1330-43-4	Sodium Borate	B4Na2O7	-3256658.0	-3062973.0	194.636	187.443				
1332-77-0	Potassium Borate	B4K2O7	-3289042.0	-3100143.0	237.12	170.498				
1333-82-0	Chromium Oxide	CrO3					-292880.0	-273452.0	266.178	56.025
1344-28-1	Aluminum Oxide	Al2O3	-1620567.0	-1532025.0	67.298	79.015				
1344-54-3	Titanium Oxide	O3Ti2	-1418459.0	-1346273.0	127.126	94.851				
1345-25-1	Iron Oxide	FeO	-249532.0	-233289.0	75.415	48.116	251040.0	217639.0	241.924	31.406
1493-02-3	Formyl Fluoride	CHFO					-376560.0	-368054.0	246.52	40.414
1495-50-7	Cyanogen Fluoride	CFN					35982.0	29285.0	225.403	42.312
1605-72-7	Dichloromethylene	CCl2					238488.0	227598.0	265.346	46.249
1871-24-5	Carbonyl Fluoride	CFO					-171544.0	-183103.0	248.479	38.93
2074-87-5	Cyanogen	CN					435136.0	404995.0	202.638	29.154
2108-20-5	Chloromethylene	CHCl					334720.0	319129.0	234.912	36.737
2122-48-7	Ethynyl	C2H					476976.0	438031.0	207.444	37.104
2154-59-8	Difluoromethylene	CF2					-182004.0	-191635.0	240.833	38.948
2229-07-4	Methyl	CH3					145687.0	147950.0	194.17	38.693
2264-21-3	Trifluoromethyl	CF3					-470282.0	-456912.0	265.082	49.804
2314-97-8	Trifluoriodomethane	CF3I					-589107.0	-571109.0	307.629	70.94
2404-52-6	Thiophosphoryl Fluoride	F3PS					-1009068.0	-985461.0	298.139	74.551
2465-56-7	Methylene	CH2					386392.0	369245.0	193.931	34.6
2468-81-7	CNN Radical	CN2					584505.0	574258.0	231.716	42.281
2551-62-4	Sulfur Fluoride	F6S					-1220473.0	-1116451.0	291.535	96.96
2597-44-6	Formyl	CHO					43514.0	28309.0	224.649	34.597
2602-42-8	Carbonyl Chloride	CClO					-62760.0	-76508.0	265.965	45.072
2669-76-3	NCN Radical	CN2					472792.0	464189.0	226.203	42.192
2696-92-6	Nitrosyl Chloride	ClNO					51714.0	66096.0	261.68	44.589
2699-79-8	Sulfuryl Fluoride	F2O2S					-758559.0	-711938.0	283.623	65.825
2713-09-9	Fluoroethyne	C2HF					125520.0	109600.0	231.611	52.321
2944-05-0	Carbon Sulfide	CS					280328.0	228820.0	210.554	29.798
3170-80-7	Trichloromethyl	CCl3					79496.0	92473.0	296.833	63.649
3170-83-0	Hydroperoxo	HO2					2092.0	14430.0	229.106	34.905
3315-37-5	Methylidyne	CH					594128.0	560747.0	183.04	29.171
3352-57-6	Hydroxyl	HO					38987.0	34277.0	183.708	29.986
3744-07-8	Difluoroamidogen	F2N					42258.0	56762.0	249.95	41.005
3889-75-6	Fluoromethylidyne	CF					255224.0	223650.0	213.033	30.06
3889-76-7	Chloromethylidyne	CCl					502080.0	470108.0	224.516	32.254
3889-77-8	Bromomethylidyne	CBr					510448.0	465246.0	233.452	36.041
3931-89-3	Thiophosphoryl Bromide	Br3PS					-281052.0	-302335.0	372.828	94.934
3982-91-0	Thiophosphoryl Chloride	Cl3PS					-380744.0	-359753.0	337.347	89.847
4109-96-0	Dichlorosilane	H2Cl2Si					-320494.0	-294900.0	286.734	62.174
5714-22-7	Sulfur Fluoride	F10S2					-2064386.0	-1861311.0	396.943	176.682
6569-51-3	Borazine	H6B3N3					-510030.0	-388315.0	288.723	96.927
6829-52-3	Methinophosphide	CHP					149900.0	119219.0	215.062	37.166
6834-92-0	Sodium Silicate	Na2O3Si	-1510875.0	-1427704.0	150.496	111.88				
7429-90-5	Aluminum	Al	10562.0	7201.0	39.549	24.209	329699.0	289068.0	164.553	21.39
7439-89-6	Iron	Fe	12395.0	10177.0	34.763	25.096	415471.0	369804.0	180.488	25.675
7439-92-1	Lead	Pb	4283.0	2218.0	71.71	26.836	195200.0	162228.0	175.374	20.786
7439-93-2	Lithium	Li	2380.0	933.0	33.938	31.3	159300.0	126594.0	138.781	20.786
7439-95-4	Magnesium	Mg	4790.0	4256.0	34.464	34.309	147100.0	112522.0	148.648	20.786
7439-96-5	Manganese	Mn	16289.000000000002	12863.0	43.499	26.299	283257.0	241007.0	173.716	20.786
7439-97-6	Mercury	Hg					61380.0	31880.0	174.97	20.786
7439-98-7	Molybdenum	Mo	41568.0	37233.0	43.146	23.932	658980.0	613260.0	181.951	20.786
7440-02-0	Nickel	Ni	17479.0	14016.0	41.487	26.133	430115.0	384701.0	182.19	23.36
7440-03-1	Niobium	Nb	29647.0	26415.0	47.302	24.694	733037.0	688375.0	186.259	30.159
7440-09-7	Potassium	K	2270.0	263.0	71.403	32.702	89000.0	60476.0	160.34	20.786
7440-17-7	Rubidium	Rb	2184.0	102.0	83.764	32.418	80900.0	53078.0	170.093	20.786
7440-21-3	Silicon	Si	48470.0	40826.0	44.46	27.196	450000.0	405528.0	167.98	22.251
7440-23-5	Sodium	Na	2406.0	495.0	57.862	32.706	107300.0	76825.0	153.667	20.786
7440-24-6	Strontium	Sr	911.0	2340.0	50.901	39.463	164000.0	131518.0	164.64	20.786
7440-25-7	Tantalum	Ta	30795.0	28143.0	50.366	25.295	781990.0	739131.0	185.219	20.858
7440-32-6	Titanium	Ti	13652.0	11141.0	39.181	27.638	473629.0	429044.0	180.297	24.43
7440-33-7	Tungsten	W	46896.0	43015.0	45.678	24.296	851026.0	808899.0	173.954	21.297
7440-39-3	Barium	Ba	4985.0	3837.0	66.328	28.096	179075.0	146944.0	170.245	20.786
7440-41-7	Beryllium	Be	15508.0	12497.0	19.539	16.38	324000.0	286184.0	136.274	20.786
7440-42-8	Boron	B	48927.0	42749.0	26.555	11.315	560000.0	515993.00000000006	153.435	20.796
7440-44-0	Carbon	C					716670.0	671244.0	158.1	20.838
7440-46-2	Cesium	Cs	2087.0	24.0	92.069	32.439	76500.0	49532.0	175.599	20.786
7440-47-3	Chromium	Cr	26068.0	22316.0	36.205	23.434	397480.0	352551.0	174.311	20.786
7440-48-4	Cobalt	Co	18004.0	14745.0	41.0	24.811	426676.0	382117.0	179.518	23.024
7440-50-8	Copper	Cu	11857.0	9336.0	41.62	24.442	337600.0	297877.0	166.397	20.786
7440-55-3	Gallium	Ga	5578.0	88.0	59.253	28.559	271960.0	233736.0	169.042	25.346
7440-58-6	Hafnium	Hf	46209.0	37748.0	71.938	17.747	618395.0	575659.0	186.897	20.803
7440-62-2	Vanadium	V	17288.0	15141.0	36.136	24.896	515469.00000000006	469744.0	182.298	26.012
7440-66-6	Zinc	Zn	6519.0	3813.0	50.792	25.387	130419.99999999999	94859.0	160.989	20.786
7440-67-7	Zirconium	Zr	17404.0	14799.0	47.605	25.202	610027.0	567046.0	183.027	24.775
7440-70-2	Calcium	Ca	7788.0	6618.0	45.51	35.0	177800.0	144020.0	154.886	20.786
7446-09-5	Sulfur Dioxide	O2S					-296842.0	-300125.0	248.212	39.878
7446-11-9	Sulfur Trioxide	O3S					-395765.0	-371016.0	256.769	50.661
7446-70-0	Aluminum Chloride	AlCl3	-674805.0	-618161.0	172.908	125.52	-584588.0	-570158.0	314.494	71.876
7447-40-7	Potassium Chloride	ClK	-421791.0	-395090.0	86.657	73.597	-214681.0	-233428.0	239.087	36.496
7447-41-8	Lithium Chloride	ClLi	-390755.0	-372214.0	78.435	48.028	-195719.0	-217274.0	212.919	33.245
7487-88-9	Magnesium Sulfate	MgO4S	-1246587.0	-1135408.0	102.125	96.232				
7487-94-7	Mercury Chloride	Cl2Hg	-213222.0	-173080.0	164.471	102.09	-146294.0	-145007.0	294.793	58.11
7546-30-7	Mercury Chloride	ClHg					78450.0	56853.0	260.005	36.42
7550-35-8	Lithium Bromide	BrLi	-338226.0	-332088.0	84.603	65.27	-153971.0	-189498.0	224.345	33.952
7550-45-0	Titanium Chloride	Cl4Ti	804165.0	728139.0	221.925	145.205	-763162.0	-726779.0	354.889	95.614
7553-56-2	Iodine	I2	13523.0	3322.0	150.356	80.669	62421.0	19325.0	260.685	36.887
7572-29-4	Dichloroethyne	C2Cl2					209618.0	198448.0	272.027	65.573
7580-67-8	Lithium Hydride	HLi	-77714.0	-56189.0	22.227	62.342	140624.0	117820.0	170.909	29.731
7616-94-6	Perchloryl Fluoride	ClFO3					-21422.0	50632.0	278.984	64.924
7631-86-9	Silicon Oxide	O2Si	-902661.0	-850175.0	47.928	44.183	-305432.0	-306926.0	228.976	44.007
7637-07-2	Trifluoroborane	BF3					-1135621.0	-1119025.0	254.355	50.446
7646-69-7	Sodium Hydride	HNa					124265.0	102919.0	188.387	30.293
7646-79-9	Cobalt Chloride	Cl2Co	-271514.0	-240469.0	149.021	78.492	-93722.0	-107244.0	298.5	59.623
7647-01-0	Hydrogen Chloride	HCl					-92312.0	-95300.0	186.901	29.136
7647-14-5	Sodium Chloride	ClNa	-385923.0	-365667.0	95.055	50.509	-181418.0	-201334.0	229.793	35.786
7647-15-6	Sodium Bromide	BrNa	-339343.0	-332427.0	104.363	62.342	-143930.0	-177817.0	241.218	36.323
7647-17-8	Cesium Chloride	ClCs	-434468.0	-406150.0	101.708	77.404	-240162.0	-257867.00000000003	256.07	36.952
7647-19-0	Phosphorus Fluoride	F5P					-1594409.0	-1520695.0	300.81	84.836
7664-38-2	Phosphoric Acid	H3O4P	-1271663.0	-1123597.0	150.775	145.047				
7664-39-3	Hydrogen Fluoride	HF					-272546.0	-274646.0	173.78	29.138
7664-41-7	Ammonia	H3N					-45898.0	-16367.0	192.774	35.652
7664-93-9	Sulfuric Acid	H2O4S					-735129.0	-653366.0	298.796	83.761
7681-11-0	Potassium Iodide	IK	-312846.0	-310269.0	114.098	72.383	-125520.0	-165932.0	258.283	37.122
7681-49-4	Sodium Fluoride	FNa	-546204.0	-522535.99999999994	73.464	46.852	-290453.0	-309761.0	217.61	34.215
7681-82-5	Sodium Iodide	INa	-266508.0	-269856.0	120.754	52.225				
7693-26-7	Potassium Hydride	HK					123010.0	102731.0	198.024	31.036
7697-37-2	Nitric Acid	HNO3					-134306.0	-73941.0	266.4	53.336
7698-05-7	Hydrochloric Acid-D	ClD					-93345.0	-95945.0	192.741	29.17
7704-34-9	Sulfur	S	1854.0	432.0	36.825	22.531	276980.0	236500.0	167.828	23.673
7705-07-9	Titanium Chloride	Cl3Ti					-539318.0	-524862.0	316.895	72.567
7705-08-0	Iron Chloride	Cl3Fe	-362815.0	-314728.0	200.657	133.888	-253132.0	-247845.0	344.206	77.702
7718-54-9	Nickel Chloride	Cl2Ni	-233517.0	-203362.0	151.81	71.659	-73931.0	-86240.0	294.233	58.077
7719-12-2	Phosphorus Chloride	Cl3P					-288696.0	-269610.0	311.682	71.581
7720-83-4	Titanium Iodide	I4Ti	-348314.0	-362863.0	311.841	156.482	-277274.0	-327968.0	433.072	104.254
7721-01-9	Tantalum Chloride	Cl5Ta	-834347.0	-735649.0	268.135	147.904	-764835.0	-709321.0	412.973	120.137
7722-84-1	Hydrogen Peroxide	H2O2					-136106.0	-105445.0	232.991	43.116
7723-14-0	Phosphorus	P	615.0	38.0	43.011	26.326	316390.0	279980.0	163.198	20.786
7726-95-6	Bromine	Br2					30910.0	3126.0	245.394	36.048
7727-15-3	Aluminum Bromide	AlBr3	-501381.0	-486442.0	206.481	124.965	-410450.0	-438135.0	349.441	75.376
7732-18-5	Water	H2O	-285830.0	-237141.0	69.95	75.351	-241826.0	-228582.0	188.834	33.59
7757-82-6	Sodium Sulfate	Na2O4S	-1356385.0	-1247832.0	181.172	159.62	-1033615.0	-974461.0	346.854	105.619
7757-87-1	Magnesium Phosphate	Mg3O8P2	-3663190.0	-3434910.0	235.102	212.756				
7758-02-3	Potassium Bromide	BrK	-376492.0	-365987.0	105.54	69.873	-180079.0	-212804.0	250.532	36.922
7758-89-6	Copper Chloride	ClCu	-131178.0	-115987.0	93.752	66.944	91086.0	63506.0	237.207	35.261
7758-94-3	Iron Chloride	Cl2Fe	-311336.0	-278383.0	139.876	102.173	-141001.0	-155575.0	299.283	57.57
7758-95-4	Lead Chloride	Cl2Pb	-344251.0	-304160.0	153.396	77.073	-174054.0	-182802.0	317.205	55.184
7774-29-0	Mercury Iodide	HgI2	-87287.0	-94291.0	215.663	77.747	-16129.000000000002	-59074.0	336.206	61.118
7775-19-1	Sodium Borate	BNaO2	-960019.0	-906507.0	82.958	65.94	-648520.0	-655918.0	287.248	58.233
7778-80-5	Potassium Sulfate	K2O4S	-1393668.0	-1286278.0	211.505	131.319	-1094116.0	-1032835.0	366.152	108.73
7782-77-6	Nitrous Acid, Trans	HNO2					-78827.0	-43934.0	249.261	46.051
7782-91-4	Molybdic Acid	H2MoO4					-851026.0	-787234.0	355.62	104.154
7783-03-1	Tungstic Acid	H2O4W					-905836.0	-839756.0	351.999	102.527
7783-06-4	Hydrogen Sulfide	H2S					-20502.0	-33329.0	205.757	34.192
7783-30-4	Mercury Iodide	HgI					133470.0	89745.0	280.752	37.919
7783-39-3	Mercury Fluoride	F2Hg	-404897.0	-361793.0	134.246	74.856	-293654.0	-291543.0	271.737	53.968
7783-40-6	Magnesium Fluoride	F2Mg	-1072356.0	-1028977.0000000001	89.967	61.547	-726761.0	-733036.0	256.508	48.259
7783-41-7	Oxygen Fluoride	F2O					24518.0	41783.0	247.457	43.301
7783-42-8	Thionyl Fluoride	F2OS					-543920.0	-526542.0	279.132	57.105
